Model,TN,FP,FN,TP,p,AUC,Precision,Recall,F1,LinearTrans,Algorithm,Actual N,Actual P,Precision,Recall,F1,AUC
KBFC_Hard_Tomek_1_alpha_balanced_gamma_0_0_v1_Linear_Transform,141253,9518,18104,8517,0.861790074,0.774151032,0.472248403,0.319935389,0.38145967,1,KBFC,141253 & 9518,18104 & 8517,0.472 & Precision \cr,0.32 & Recall \cr,0.381 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_0_0_v1_Linear_Transform,141789,8982,18231,8390,0.746544417,0.774387203,0.482961084,0.31516472,0.381434759,1,KBFC,141789 & 8982,18231 & 8390,0.483 & Precision \cr,0.315 & Recall \cr,0.381 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_0_5_v1_Linear_Transform,142175,8596,18324,8297,0.685017192,0.775080757,0.491150178,0.311671237,0.38135903,1,KBFC,142175 & 8596,18324 & 8297,0.491 & Precision \cr,0.312 & Recall \cr,0.381 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_2_alpha_0_5_gamma_0_0_v1_Linear_Transform,142063,8708,18301,8320,0.591074992,0.774309775,0.488606997,0.312535217,0.38123342,1,KBFC,142063 & 8708,18301 & 8320,0.489 & Precision \cr,0.313 & Recall \cr,0.381 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_1_0_v1_Linear_Transform,142016,8755,18296,8325,0.639971508,0.77504247,0.487412175,0.312723038,0.381008622,1,KBFC,142016 & 8755,18296 & 8325,0.487 & Precision \cr,0.313 & Recall \cr,0.381 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_1_0_v1_Linear_Transform,141938,8833,18285,8336,0.630824031,0.775145702,0.485526236,0.313136246,0.380736658,1,KBFC,141938 & 8833,18285 & 8336,0.486 & Precision \cr,0.313 & Recall \cr,0.381 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_0_5_v2_Linear_Transform,141432,9339,18180,8441,0.654731195,0.774025354,0.474746904,0.3170805,0.380227057,1,KBFC,141432 & 9339,18180 & 8441,0.475 & Precision \cr,0.317 & Recall \cr,0.38 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v2_Linear_Transform,141026,9745,18098,8523,0.883649414,0.774324157,0.466553534,0.320160775,0.379747029,1,KBFC,141026 & 9745,18098 & 8523,0.467 & Precision \cr,0.32 & Recall \cr,0.38 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v2_Linear_Transform,141811,8960,18282,8339,0.569466138,0.775242424,0.482050983,0.313248939,0.379746333,1,KBFC,141811 & 8960,18282 & 8339,0.482 & Precision \cr,0.313 & Recall \cr,0.38 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_1_0_v1_Linear_Transform,141630,9141,18242,8379,0.614583779,0.77529231,0.478253422,0.314751512,0.379657464,1,KBFC,141630 & 9141,18242 & 8379,0.478 & Precision \cr,0.315 & Recall \cr,0.38 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_0_0_v1_Linear_Transform,142029,8742,18346,8275,0.696499613,0.774476976,0.486278425,0.310844822,0.379267095,1,KBFC,142029 & 8742,18346 & 8275,0.486 & Precision \cr,0.311 & Recall \cr,0.379 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_1_alpha_0_5_gamma_0_0_v2_Linear_Transform,141667,9104,18263,8358,0.543914057,0.774528674,0.478639328,0.313962661,0.379204224,1,KBFC,141667 & 9104,18263 & 8358,0.479 & Precision \cr,0.314 & Recall \cr,0.379 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v1_Linear_Transform,141975,8796,18339,8282,0.867939763,0.774029768,0.484951397,0.311107772,0.379058051,1,KBFC,141975 & 8796,18339 & 8282,0.485 & Precision \cr,0.311 & Recall \cr,0.379 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_0_5_v1_Linear_Transform,142205,8566,18404,8217,0.663251871,0.776059024,0.489602571,0.308666091,0.378639211,1,KBFC,142205 & 8566,18404 & 8217,0.49 & Precision \cr,0.309 & Recall \cr,0.379 & F1 \cr,0.776 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_2_0_v1_Linear_Transform,142236,8535,18472,8149,0.585755442,0.773006923,0.488432028,0.306111716,0.376364295,1,KBFC,142236 & 8535,18472 & 8149,0.488 & Precision \cr,0.306 & Recall \cr,0.376 & F1 \cr,0.773 & AUC \cr
KBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_v2_Linear_Transform,140976,9795,18200,8421,0.873114962,0.773234296,0.4622859,0.316329214,0.375637623,1,KBFC,140976 & 9795,18200 & 8421,0.462 & Precision \cr,0.316 & Recall \cr,0.376 & F1 \cr,0.773 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_0_5_v1_Linear_Transform,142202,8569,18492,8129,0.654825026,0.773991669,0.486824767,0.30536043,0.37531928,1,KBFC,142202 & 8569,18492 & 8129,0.487 & Precision \cr,0.305 & Recall \cr,0.375 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_v1_Linear_Transform,141997,8774,18447,8174,0.884313855,0.77394166,0.482298793,0.307050825,0.375231406,1,KBFC,141997 & 8774,18447 & 8174,0.482 & Precision \cr,0.307 & Recall \cr,0.375 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_2_0_v1_Linear_Transform,142496,8275,18602,8019,0.584995036,0.774252642,0.492144345,0.301228354,0.373726062,1,KBFC,142496 & 8275,18602 & 8019,0.492 & Precision \cr,0.301 & Recall \cr,0.374 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_2_alpha_0_5_gamma_0_0_v2_Linear_Transform,142499,8272,18612,8009,0.556346162,0.774592603,0.491923098,0.30085271,0.373373127,1,KBFC,142499 & 8272,18612 & 8009,0.492 & Precision \cr,0.301 & Recall \cr,0.373 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_2_0_v2_Linear_Transform,142039,8732,18544,8077,0.589057712,0.774235767,0.480516387,0.303407085,0.371965379,1,KBFC,142039 & 8732,18544 & 8077,0.481 & Precision \cr,0.303 & Recall \cr,0.372 & F1 \cr,0.774 & AUC \cr
