p,Filename,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}
0.8,KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v1_Test_Transformed_98,81,157,0.6596638655462185,179122,1123,31100,2725,0.7081600831600832,0.08056171470805618,0.01797542859812211
0.94,KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v1_Test_Transformed_95,59,121,0.6722222222222223,179738,507,32310,1515,0.7492581602373887,0.04478935698447894,0.009445508478535059
0.59,OBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_5_gamma_1_1_0_v1_Train,321,637,0.6649269311064718,418036,2534,71586,7340,0.7433664168523395,0.09299850492866736,0.019767926069478033
0.64,OBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_5_gamma_1_1_0_v1_Train_Transformed_100,248,507,0.671523178807947,418367,2203,72227,6699,0.7525275219051899,0.08487697336745813,0.017821964540256578
0.79,OBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_5_gamma_1_1_0_v1_Train_Transformed_98,221,441,0.6661631419939577,418176,2394,71835,7091,0.7476014760147601,0.0898436510148747,0.018989141054182618
0.87,OBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_5_gamma_1_1_0_v1_Train_Transformed_95,180,358,0.6654275092936803,418719,1851,72962,5964,0.7631477927063339,0.07556445277855206,0.015645770937104602
0.67,OBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_5_gamma_1_1_0_v1_Test,71,151,0.6801801801801802,179838,407,32480,1345,0.7676940639269406,0.03976348854397635,0.008184238800392395
0.7,OBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_5_gamma_1_1_0_v1_Test_Transformed_100,103,207,0.667741935483871,179519,726,31799,2026,0.7361918604651163,0.059896526237989654,0.012855607978698556
0.84,OBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_5_gamma_1_1_0_v1_Test_Transformed_98,87,173,0.6653846153846154,179497,748,31754,2071,0.7346576800283788,0.06122690317812269,0.01316858971364507
0.89,OBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_5_gamma_1_1_0_v1_Test_Transformed_95,81,161,0.6652892561983471,179463,782,31672,2153,0.7335604770017036,0.06365114560236511,0.013710468538328585
0.65,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Train,276,545,0.6638246041412911,418737,1833,72800,6126,0.7696946852619676,0.0776170083369232,0.015934061534026298
