Filename,n,nUnique,nUnique/n,95%,95%/n
BRFC_Easy_Tomek_0_alpha_balanced_v1_Train_Transformed,499496,40384,0.0808,25004,0.0501
BRFC_Easy_Tomek_0_alpha_balanced_v1_Test,214070,33091,0.1546,22698,0.1060
BRFC_Easy_Tomek_0_alpha_balanced_v1_Test_Transformed,214070,32789,0.1532,22407,0.1047
AdaBoost_Easy_Tomek_0_v1_Train,499496,40928,0.0819,25496,0.0510
AdaBoost_Easy_Tomek_0_v1_Train_Transformed,499496,39966,0.0800,24744,0.0495
AdaBoost_Easy_Tomek_0_v1_Test,214070,33306,0.1556,22868,0.1068
AdaBoost_Easy_Tomek_0_v1_Test_Transformed,214070,32531,0.1520,22230,0.1038
Bagging_Easy_Tomek_0_v1_Train,499496,13695,0.0274,8774,0.0176
Bagging_Easy_Tomek_0_v1_Train_Transformed,499496,13611,0.0272,8718,0.0175
Bagging_Easy_Tomek_0_v1_Test,214070,12997,0.0607,8587,0.0401
Bagging_Easy_Tomek_0_v1_Test_Transformed,214070,12874,0.0601,8504,0.0397
RUSBoost_Easy_Tomek_0_v1_Train,499496,40928,0.0819,25496,0.0510
RUSBoost_Easy_Tomek_0_v1_Train_Transformed,499496,40058,0.0802,24871,0.0498
RUSBoost_Easy_Tomek_0_v1_Test,214070,33306,0.1556,22868,0.1068
RUSBoost_Easy_Tomek_0_v1_Test_Transformed,214070,32653,0.1525,22364,0.1045
EEC_Easy_Tomek_0_v1_Train,499496,80,0.0002,44,0.0001
EEC_Easy_Tomek_0_v1_Train_Transformed,499496,78,0.0002,43,0.0001
EEC_Easy_Tomek_0_v1_Test,214070,80,0.0004,44,0.0002
EEC_Easy_Tomek_0_v1_Test_Transformed,214070,78,0.0004,43,0.0002
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v1_Train,499496,40841,0.0818,25441,0.0509
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v1_Train_Transformed,499496,39899,0.0799,24725,0.0495
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v1_Test,214070,33250,0.1553,22829,0.1066
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v1_Test_Transformed,214070,32497,0.1518,22226,0.1038
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v1_Train,499496,40846,0.0818,25441,0.0509
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v1_Train_Transformed,499496,39817,0.0797,24657,0.0494
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v1_Test,214070,33241,0.1553,22823,0.1066
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v1_Test_Transformed,214070,32362,0.1512,22123,0.1033
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1,214070,33231,0.1552,22821,0.1066
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Transformed,214070,32326,0.1510,22096,0.1032
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1,214070,33215,0.1552,22799,0.1065
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Transformed,214070,32235,0.1506,22030,0.1029
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1,214070,33200,0.1551,22796,0.1065
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Transformed,214070,32209,0.1505,22023,0.1029
LRC_Hard_Tomek_0_alpha_0_5_v2_Train,499496,484978,0.9709,460003,0.9209
LRC_Hard_Tomek_0_alpha_0_5_v2_Train_Transformed,499496,482548,0.9661,457573,0.9161
LRC_Hard_Tomek_0_alpha_0_5_v2_Test,214070,211088,0.9861,200384,0.9361
LRC_Hard_Tomek_0_alpha_0_5_v2_Test_Transformed,214070,210064,0.9813,199360,0.9313
LRC_Hard_Tomek_0_alpha_balanced_v2_Train,499496,484978,0.9709,460003,0.9209
LRC_Hard_Tomek_0_alpha_balanced_v2_Train_Transformed,499496,479395,0.9598,454420,0.9098
LRC_Hard_Tomek_0_alpha_balanced_v2_Test,214070,211088,0.9861,200384,0.9361
LRC_Hard_Tomek_0_alpha_balanced_v2_Test_Transformed,214070,208626,0.9746,197922,0.9246
BRFC_Hard_Tomek_0_alpha_0_5_v2_Train,499496,3018,0.0060,116,0.0002
