p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}
0.22,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_2_0_Hard_Test_Transformed_100,11691,2605,0.1822188024622272,454703,146112,39851,72900,0.3328584735083009,0.6465574584704349,1.2958820764339118,0.30692605869674283
0.3,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_2_0_Hard_Test_Transformed_98,8290,1878,0.18469708890637293,455958,144857,40153,72598,0.3338529810765446,0.643878989986785,1.2847513547551686,0.30474406011497185
0.32,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_2_0_Hard_Test_Transformed_95,7688,1756,0.1859381617958492,457343,143472,40472,72279,0.3350111934591265,0.6410497467871682,1.2724676499543242,0.30235605395997006
0.6,BRFC_5_Fold_alpha_0_5_Medium_Test,6636,1795,0.2129047562566718,489845,110970,56838,55913,0.3350431140379787,0.4958980408156025,0.9842041312272175,0.23387184927532984
0.6,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_100,6636,1795,0.2129047562566718,489845,110970,56838,55913,0.3350431140379787,0.4958980408156025,0.9842041312272175,0.23387184927532984
0.59,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_98,6025,1582,0.20796634678585513,485254,115561,55548,57203,0.3311048598087565,0.5073391810272193,1.0249221736392582,0.24211355361662412
0.6,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_95,6249,1690,0.21287315782844188,489845,110970,56838,55913,0.3350431140379787,0.4958980408156025,0.9842041312272175,0.23387184927532984
0.61,BRFC_5_Fold_alpha_balanced_Medium_Test,6071,1746,0.22335934501727006,494123,106692,59129,53622,0.3344810808787754,0.47557893056380873,0.9462621174091582,0.22466597343483294
0.61,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_100,6071,1746,0.22335934501727006,494123,106692,59129,53622,0.3344810808787754,0.47557893056380873,0.9462621174091582,0.22466597343483294
0.6,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_98,5484,1611,0.227061310782241,489718,111097,57815,54936,0.33087398288292086,0.4872329291979672,0.9853305070465007,0.2326806490219545
0.61,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_95,3982,1097,0.2159873990943099,492115,108700,58498,54253,0.3329364908900112,0.4811753332564678,0.9640712720951478,0.22836429986854756
0.23,LogReg_5_Fold_alpha_0_5_Medium_Test,10564,3123,0.22817271863812377,518376,82439,70859,41892,0.33693929912893805,0.3715443765465495,0.7311598123298241,0.17423896317929946
0.26,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_100,9215,2638,0.22255968953007677,513341,87474,69289,43462,0.33193315818415103,0.3854688650211528,0.7758157355588864,0.18349528985405694
0.33,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_98,6411,1830,0.22206042955951946,513197,87618,69253,43498,0.3317520363647457,0.38578815265496536,0.7770928860941366,0.18374754402535995
0.36,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_95,5633,1630,0.22442516866308687,514273,86542,69583,43168,0.3328039472669802,0.3828613493450169,0.7675497334835167,0.18177715866507094
0.61,LogReg_5_Fold_alpha_balanced_Medium_Test,7817,2299,0.22726374060893634,514062,86753,69560,43191,0.3323816413224158,0.38306533866661935,0.769421113781696,0.18210508908776482
0.61,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_100,7045,2060,0.22624931356397585,514164,86651,69593,43158,0.33247309508585693,0.3827726583356245,0.7685164654858937,0.18191589845928757
0.62,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_98,5567,1687,0.23256134546457127,517250,83565,70533,42218,0.3356415413847658,0.374435703452741,0.7411464199874058,0.17627381349447704
0.62,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_95,5439,1576,0.22466143977191733,512959,87856,69220,43531,0.3313189280522426,0.3860808329859602,0.7792037321176752,0.18412732669437726
0.5,AdaBoost_5_Fold_Medium_Test,595109,106736,0.15207916277810626,595175,5640,106739,6012,0.5159629248197735,0.05332103484669759,0.050021729297301136,0.016329253355681184
0.54,AdaBoost_5_Fold_Medium_Test_Transformed_100,11568,3364,0.22528797214036966,514681,86134,69745,43006,0.3330184296112746,0.3814245549928604,0.7639311403003077,0.18097835378927807
0.56,AdaBoost_5_Fold_Medium_Test_Transformed_98,7361,2178,0.22832582031659504,514193,86622,69610,43141,0.3324599462096283,0.3826218836196575,0.7682592615586558,0.18185143350439903
0.58,AdaBoost_5_Fold_Medium_Test_Transformed_95,6391,1928,0.2317586248347157,516955,83860,70460,42291,0.33524109995164525,0.37508314782130536,0.743762804764481,0.1767895331335854
0.6,BalBag_5_Fold_Medium_Test,35502,10798,0.2332181425485961,520347,80468,71732,41019,0.3376410644760345,0.3638016514265949,0.7136788143785865,0.170253347272712
0.6,BalBag_5_Fold_Medium_Test_Transformed_100,35502,10798,0.2332181425485961,520347,80468,71732,41019,0.3376410644760345,0.3638016514265949,0.7136788143785865,0.170253347272712
0.6,BalBag_5_Fold_Medium_Test_Transformed_98,35502,10798,0.2332181425485961,520347,80468,71732,41019,0.3376410644760345,0.3638016514265949,0.7136788143785865,0.170253347272712
0.6,BalBag_5_Fold_Medium_Test_Transformed_95,35502,10798,0.2332181425485961,520347,80468,71732,41019,0.3376410644760345,0.3638016514265949,0.7136788143785865,0.170253347272712
0.51,EEC_5_Fold_Medium_Test,93096,21179,0.18533362502734632,496089,104726,66785,45966,0.3050327820985852,0.4076770937730042,0.9288254649626168,0.21118158656662453
0.48,EEC_5_Fold_Medium_Test_Transformed_100,6699,1987,0.2287589224038683,524012,76803,74553,38198,0.3321536334466657,0.3387819176770051,0.68117355943628,0.16116378863342704
0.56,EEC_5_Fold_Medium_Test_Transformed_98,2915,853,0.22638004246284502,521722,79093,73867,38884,0.3295896657823135,0.3448661209213222,0.7014838005871344,0.1653343909323034
0.59,EEC_5_Fold_Medium_Test_Transformed_95,6202,1869,0.23156981786643538,526224,74591,75210,37541,0.334792922626904,0.33295491835992586,0.6615551081586859,0.1571431374252697
0.5,RUSBoost_5_Fold_Medium_Test,453891,66434,0.1276778936241772,453891,146924,66434,46317,0.2396851599815774,0.4107901482026767,1.303083786396573,0.2708102684264665
0.54,RUSBoost_5_Fold_Medium_Test_Transformed_100,1117,423,0.2746753246753247,597414,3401,111014,1737,0.3380692876605683,0.01540562833145604,0.03016381229434772,0.007200455178637996
0.94,RUSBoost_5_Fold_Medium_Test_Transformed_98,491,166,0.2526636225266362,596725,4090,110737,2014,0.3299475753604194,0.017862369291624908,0.03627462284148256,0.008554219231297455
0.99,RUSBoost_5_Fold_Medium_Test_Transformed_95,649,232,0.2633371169125993,593983,6832,109712,3039,0.3078715429034546,0.02695319775434364,0.060593697616872576,0.013833338471844231
0.23,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test,10017,2838,0.2207701283547258,506418,94397,65318,47433,0.33443559190580274,0.4206880648508661,0.8372165213612296,0.19876227286613993
0.26,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test_Transformed_100,8731,2534,0.2249445184198846,506174,94641,65258,47493,0.33414242897547386,0.42122021090722034,0.8393805819904037,0.19918830213322944
0.32,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test_Transformed_98,6554,1881,0.2229994072317724,504192,96623,64655,48096,0.3323406048963854,0.4265682787735807,0.8569591400519729,0.20281095231555316
0.35,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test_Transformed_95,5632,1722,0.23415828120750612,506289,94526,65288,47463,0.33427237321200937,0.4209541378790432,0.8383606353823913,0.19898509738412423
0.6,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test,7511,2198,0.22638788752703676,502339,98476,64321,48430,0.329666589519829,0.42953055848728616,0.8733935840923805,0.20587584049688465
0.62,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test_Transformed_100,7015,2063,0.22725269883234192,505977,94838,65365,47386,0.3331786477669029,0.4202712171067219,0.8411277948754334,0.19931442921888096
0.63,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test_Transformed_98,6103,1770,0.22481900165121302,504006,96809,64755,47996,0.3314526432098339,0.42568136867965695,0.8586087928266711,0.20293147375295348
0.64,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test_Transformed_95,5565,1627,0.22622358175750834,506740,94075,65584,47167,0.3339445773919939,0.4183288840010288,0.8343606708587951,0.19793824257321677
0.74,BRFC_5_Fold_alpha_0_5_Easy_Test,5096,1906,0.2722079405884033,557547,43268,91042,21709,0.33410283638826044,0.19253931228991317,0.3837482594389407,0.09105955160419639
0.74,BRFC_5_Fold_alpha_0_5_Easy_Test_Transformed_100,5096,1906,0.2722079405884033,557547,43268,91042,21709,0.33410283638826044,0.19253931228991317,0.3837482594389407,0.09105955160419639
0.77,BRFC_5_Fold_alpha_0_5_Easy_Test_Transformed_98,4841,1809,0.2720300751879699,557533,43282,91035,21716,0.33410258777193147,0.19260139599648785,0.38387242685209,0.09108898125751508
0.79,BRFC_5_Fold_alpha_0_5_Easy_Test_Transformed_95,4591,1775,0.2788250078542256,555020,45795,90098,22653,0.33095196353436185,0.20091174357655364,0.4061604775123946,0.095923852874156
0.92,BRFC_5_Fold_alpha_balanced_Easy_Test,13657,4741,0.2576910533753669,558258,42557,91845,20906,0.3294202921387265,0.18541742423570523,0.3774423286711426,0.08893781374112555
0.92,BRFC_5_Fold_alpha_balanced_Easy_Test_Transformed_100,13657,4741,0.2576910533753669,558258,42557,91845,20906,0.3294202921387265,0.18541742423570523,0.3774423286711426,0.08893781374112555
0.93,BRFC_5_Fold_alpha_balanced_Easy_Test_Transformed_98,13533,4602,0.2537634408602151,554292,46523,90428,22323,0.3242454173081951,0.19798494026660518,0.4126171829961597,0.0964816148751482
0.94,BRFC_5_Fold_alpha_balanced_Easy_Test_Transformed_95,12476,4294,0.25605247465712583,555888,44927,91011,21740,0.32609836950815246,0.19281425441902955,0.39846209789713616,0.09342793799031905
0.32,LogReg_5_Fold_alpha_0_5_Easy_Test,2765,1203,0.30317540322580644,587518,13297,106059,6692,0.3347841312721997,0.05935202348537929,0.11793243518904489,0.028012825723198694
0.61,LogReg_5_Fold_alpha_0_5_Easy_Test_Transformed_100,1208,499,0.29232571763327475,586124,14691,105410,7341,0.3331971677559913,0.06510806999494462,0.13029596189834236,0.0308759105674878
0.76,LogReg_5_Fold_alpha_0_5_Easy_Test_Transformed_98,857,353,0.29173553719008266,586323,14492,105501,7250,0.3334559838101371,0.06430098180947397,0.12853101081143403,0.030469501069277403
0.84,LogReg_5_Fold_alpha_0_5_Easy_Test_Transformed_95,827,338,0.29012875536480687,586470,14345,105556,7195,0.3340297121634169,0.06381318125781589,0.1272272529733661,0.03018641583259292
0.72,LogReg_5_Fold_alpha_balanced_Easy_Test,2699,1218,0.31095225938218024,588107,12708,106364,6387,0.3344854673998429,0.05664694769891176,0.11270853473583382,0.026759963339060437
0.81,LogReg_5_Fold_alpha_balanced_Easy_Test_Transformed_100,2181,876,0.28655544651619236,586245,14570,105503,7248,0.33220276835640294,0.06428324360759549,0.1292228006846946,0.030576008386049784
0.88,LogReg_5_Fold_alpha_balanced_Easy_Test_Transformed_98,1542,707,0.31436193863939527,587411,13404,106061,6690,0.33293520453866826,0.059334285283500814,0.11888142898954333,0.028159973989792114
0.92,LogReg_5_Fold_alpha_balanced_Easy_Test_Transformed_95,1446,676,0.31856738925541944,587415,13400,106062,6689,0.3329682911045846,0.059325416182561576,0.11884595258578638,0.028152966929478142
0.5,AdaBoost_5_Fold_Easy_Test,600815,112751,0.1580106114921395,600815,0,112751,0,,0.0,0.0,0.0
0.77,AdaBoost_5_Fold_Easy_Test_Transformed_100,2187,907,0.2931480284421461,586146,14669,105462,7289,0.33195190818835957,0.06464687674610425,0.13010084167767913,0.030772206074841008
0.86,AdaBoost_5_Fold_Easy_Test_Transformed_98,1369,632,0.31584207896051975,587453,13362,106071,6680,0.33330006985330807,0.059245594274108436,0.11850892675009535,0.028087100562526803
0.9,AdaBoost_5_Fold_Easy_Test_Transformed_95,1372,569,0.29314786192684184,586334,14481,105530,7221,0.3327343102018247,0.06404377788223607,0.12843345070110243,0.030413444586765623
0.75,BalBag_5_Fold_Easy_Test,3990,1550,0.27978339350180503,565568,35247,94962,17789,0.3354136812730975,0.15777243660810103,0.31260920080531435,0.07432529016236761
0.75,BalBag_5_Fold_Easy_Test_Transformed_100,3990,1550,0.27978339350180503,565568,35247,94962,17789,0.3354136812730975,0.15777243660810103,0.31260920080531435,0.07432529016236761
0.76,BalBag_5_Fold_Easy_Test_Transformed_98,3669,1407,0.2771867612293144,563271,37544,94060,18691,0.33237307726504844,0.16577236565529352,0.3329815256627436,0.07880840735124711
